name,rating,genre,release_date,runtime,director,url
Mortal Kombat,79.0,"Fantasy, Action, Adventure, Science Fiction, Thriller",04/23/2021,1h 50m,Lewis Tan,https://www.themoviedb.org/movie/460465
Godzilla vs. Kong,82.0,"Science Fiction, Action",03/31/2021,1h 53m,Alexander Skarsgård,https://www.themoviedb.org/movie/399566
Nobody,85.0,"Action, Thriller, Crime",03/26/2021,1h 32m,Bob Odenkirk,https://www.themoviedb.org/movie/615457
Zack Snyder's Justice League,85.0,"Action, Adventure, Fantasy, Science Fiction",03/18/2021,4h 2m,Ben Affleck,https://www.themoviedb.org/movie/791373
The Unholy,57.0,Horror,04/02/2021,1h 39m,Jeffrey Dean Morgan,https://www.themoviedb.org/movie/632357
Thunder Force,58.0,"Action, Adventure, Comedy, Fantasy",04/09/2021,1h 47m,Melissa McCarthy,https://www.themoviedb.org/movie/615678
The Marksman,73.0,"Action, Thriller, Crime",01/15/2021,1h 48m,Liam Neeson,https://www.themoviedb.org/movie/634528
Chaos Walking,73.0,"Science Fiction, Action, Adventure, Thriller",03/05/2021,1h 49m,Tom Holland,https://www.themoviedb.org/movie/412656
Raya and the Last Dragon,83.0,"Animation, Adventure, Fantasy, Family, Action",03/05/2021,1h 47m,Kelly Marie Tran,https://www.themoviedb.org/movie/527774
Demon Slayer the Movie: Mugen Train,82.0,"Animation, Action, Adventure, Fantasy, Drama",04/23/2021,1h 57m,Natsuki Hanae,https://www.themoviedb.org/movie/635302
New Gods: Nezha Reborn,88.0,"Animation, Action, Fantasy",02/12/2021,1h 56m,Tianxiang Yang,https://www.themoviedb.org/movie/663558
Mortal Kombat Legends: Scorpion's Revenge,84.0,"Animation, Action, Fantasy",04/12/2020,1h 20m,Patrick Seitz,https://www.themoviedb.org/movie/664767
Monster Hunter,71.0,"Fantasy, Action, Adventure",12/18/2020,1h 44m,Milla Jovovich,https://www.themoviedb.org/movie/458576
Vanquish,61.0,"Action, Crime, Thriller",04/16/2021,1h 36m,Morgan Freeman,https://www.themoviedb.org/movie/804435
Wonder Woman 1984,68.0,"Fantasy, Action, Adventure",12/25/2020,2h 31m,Gal Gadot,https://www.themoviedb.org/movie/464052
Tom & Jerry,73.0,"Comedy, Family, Animation",02/26/2021,1h 41m,Chloë Grace Moretz,https://www.themoviedb.org/movie/587807
Sentinelle,60,"Thriller, Action, Drama",03/05/2021,1h 20m,Olga Kurylenko,https://www.themoviedb.org/movie/793723
Space Sweepers,72.0,"Drama, Fantasy, Science Fiction",02/05/2021,2h 16m,Song Joong-ki,https://www.themoviedb.org/movie/581389
Rise of the Mummy,50,,(US),1h 30m,Shawn C. Phillips,https://www.themoviedb.org/movie/791910
Cherry,76.0,"Crime, Drama",02/26/2021,2h 20m,Tom Holland,https://www.themoviedb.org/movie/544401
Outside the Wire,65.0,"Thriller, Action, Science Fiction",01/15/2021,1h 56m,Anthony Mackie,https://www.themoviedb.org/movie/775996
Miraculous World: Shanghai – The Legend of Ladydragon,79.0,"Animation, Comedy, Family,",04/04/2021,Adventure 52m,Anouck Hautbois,https://www.themoviedb.org/movie/726684
Below Zero,64.0,"Action, Crime, Thriller",01/29/2021,1h 46m,Javier Gutiérrez,https://www.themoviedb.org/movie/587996
Twist,70,"Crime, Drama, Action",01/22/2021,1h 30m,Raff Law,https://www.themoviedb.org/movie/644083
Night in Paradise,71.0,"Crime, Drama, Thriller",04/09/2021,2h 11m,Um Tae-goo,https://www.themoviedb.org/movie/606523
Black Water: Abyss,50,"Horror, Thriller, Adventure, Mystery",08/07/2020,1h 38m,Jessica McNamee,https://www.themoviedb.org/movie/522444
"Miraculous World: New York, United HeroeZ",84.0,"Animation, Family, Comedy,",09/26/2020,Adventure 55m,Anouck Hautbois,https://www.themoviedb.org/movie/755812
